疾病名,英文病名,科別,器官,簡介,症狀,預防和治療
,,,,,,
視網膜剝離  ,retinal detachment,眼科,眼,視網膜剝離是指視網膜有破洞，玻璃體內的液體經由破洞跑到視網膜外與眼球壁中間，造成視網膜剝離，常見的原因包括高度近視、眼球外傷…等。,['視力模糊．眼前出現黑點．眼前異常閃光．視野缺損'],近視度數過深，超過600度的人很容易罹患視網膜剝離，得到這項疾病的機率是平常人的10倍。因為視網膜本身並沒有會痛的神經，產生裂孔或是剝離的狀況都不容易被發覺。因此建議患有深度近視者應該每半年至眼科檢查1次眼睛，一方面還可隨時了解眼睛的狀況，一方面提早發現是否有眼睛的疾病，儘速治療。
,,,,,,
過敏性鼻炎  ,allergic rhinitis,"耳鼻喉科,家醫科",鼻,過敏性鼻炎是因為體質或環境出現過敏原所誘發，患者的鼻黏膜只要接觸到過敏原，就會引發一連串症狀。,['打噴嚏．眼睛癢．耳朵癢．鼻塞．流鼻涕．鼻涕倒流．頭暈．注意力無法集中．黑眼圈'],維持居家環境清潔、乾燥。少用地毯，窗簾、寢具要經常換洗。
,,,,,,
白內障  ,cataract,眼科,眼,白內障是指原本清澈透明的水晶體變混濁，導致光線無法完全穿透而造成視覺模糊，而且是無法以眼鏡矯正的現象。通常又可分為先天性與後天性兩種情形，其中又以後天性的老年人白內障最為常見。老年性白內障是種自然老化的現象，隨著年齡的增加，眼球內部的水晶體會慢慢發生硬化、以致於逐漸混濁不透明，導致視力慢慢減退，影響到日常生活及工作，老年性白內障可說是銀髮族最常見的疾病。,['視力不穩定．視力模糊．複視．畏光．夜間炫光．物體明暗對比難分辨．色調改變．物體顏色變暗．近視度數逐年大增．伸手不見五指'],白內障屬於眼睛的自然老化現象，因此避免眼睛老化就能延緩白內障發生的時機，甚至降低白內障發生的可能，一般來說避免眼睛日曬、禁煙、攝取深黃或深綠色的蔬果，並適當補充維生素A、B、C、E、葉黃素，都能產生良好的眼睛保健效果。
,,,,,,
青光眼  ,Glaucoma,眼科,眼,青光眼主要是由於眼球內壓力（眼壓）上升而引起的。位於眼的前方是前房，有一種清澈的分泌液（眼房水）不停的流入，再經由前房角流出，假若眼房水的流動遇上阻塞，眼壓會上升，就可能會導致視神經永久性的破壞。青光眼從早期單純的認為是急性或長期眼壓升高導致視覺功能受損，到近年來終於確認青光眼是個多樣化的視神經病變，難以單純用眼壓的升高作為發病的原因。因為在實際病例中可以發現，有此人眼壓雖在正常範圍內，但仍可能有青光眼的視神經病變，有些人眼壓偏高，卻未必會有青光眼，因此目前醫界一致認同的定義是青光眼為一群不同原因的疾病組合，他們的共通點是具特徵性的視神經病變同時伴隨有典型的視野缺損，而眼壓的升高是青光眼的危險因子之一。,['眼睛痛．發紅．同側頭痛．噁心．視力模糊．視覺範圍縮小．嘔吐'],青光眼與高血壓或糖尿病一樣，並無法「根治」。為一種需要終生進行治療與追蹤的疾病，但若確實接受治療，則可以跟一般人生活一樣，但是最重要的是要有耐心來治療青光眼，因為視神經一但遭破壞就無法再生，因此盡量減少視神經的持續受損為治療青光眼的最高原則。
,,,,,,
麥粒腫  ,Hordeolum,眼科,眼,麥粒腫是出現在眼瞼的膿包，產生主因是眼睛的毛囊或腺體受到急性細菌感染發炎所致。在我們的眼皮底下有3種腺體，分別是蔡氏腺、麥氏腺和莫氏腺，這些腺體會分泌出一種脂質分泌物，用來阻止淚液的蒸發，在正常的狀況下，這些腺體的流路和排泄功能皆很正常，細菌不會在裡面繁殖。不過因為我們的眼睛總是暴露在外，接觸到空氣中許多的風塵、病菌或毒物，再加上有時我們會用手揉眼睛、不小心使用到不乾淨的毛巾，或者是在眼部不當使用化妝保養等化學用品，致使細菌很容易沿著瞼板腺導管開口或睫毛毛囊根部入侵，特別是金黃色葡萄球菌，因此造成急性化膿性感染的麥粒腫。,['眼屎多．紅眼．眼皮紅腫按了會痛'],平日睡眠充足，作息正常。
,,,,,,
